batch_id,product_id,plant_id,production_date,quantity_produced,defect_qty
1,21,1,2025-11-28,175,6
2,22,2,2025-05-20,352,4
3,7,1,2025-03-19,337,10
4,18,1,2026-05-25,351,13
5,6,2,2026-02-03,192,7
6,11,1,2026-03-16,99,2
7,9,3,2026-06-05,324,12
8,3,2,2026-02-25,345,4
9,22,1,2025-12-13,90,3
10,13,1,2026-02-28,133,2
11,9,2,2025-05-04,361,9
12,8,1,2026-03-15,188,5
13,18,1,2026-01-18,481,6
14,2,3,2026-04-06,187,7
15,19,3,2026-01-08,158,3
16,21,1,2025-11-18,121,3
17,9,2,2026-05-04,348,6
18,5,2,2025-05-24,436,38
19,21,1,2026-04-28,355,8
20,15,2,2025-03-03,398,12
21,18,2,2026-02-03,107,2
22,1,3,2025-11-16,306,8
23,4,3,2025-12-22,480,14
24,5,1,2025-08-04,326,12
25,1,2,2026-07-05,59,1
26,10,1,2025-10-24,499,6
27,24,1,2025-05-01,439,6
28,22,1,2025-08-08,185,5
29,7,3,2025-09-13,415,17
30,21,1,2026-08-03,281,5
31,11,1,2025-10-13,351,4
32,21,1,2025-04-30,66,1
33,8,1,2026-07-02,159,5
34,19,2,2025-10-26,451,10
35,4,1,2026-05-07,231,6
36,24,1,2025-05-31,81,2
37,4,1,2025-09-02,324,7
38,9,1,2025-05-08,276,10
39,4,1,2025-03-07,97,3
40,6,1,2026-06-27,159,6
41,6,1,2026-03-26,185,6
42,10,1,2026-07-03,129,2
43,2,2,2025-04-23,432,5
44,16,2,2025-07-31,79,1
45,6,1,2025-04-30,395,9
46,19,1,2025-04-01,367,11
47,19,2,2025-11-14,154,3
48,9,1,2025-12-24,284,9
49,3,1,2025-06-02,87,2
50,5,3,2025-05-01,500,9
51,15,3,2025-12-26,363,12
52,17,1,2025-12-23,389,14
53,9,1,2025-06-09,430,8
54,20,1,2026-02-06,154,5
55,17,1,2025-04-13,97,3
56,2,1,2025-07-03,376,6
57,15,2,2026-05-03,337,29
58,23,3,2025-03-28,477,13
59,14,1,2026-01-01,236,8
60,2,3,2025-09-23,399,5
61,18,3,2026-04-12,367,14
62,8,3,2025-08-20,261,34
63,11,2,2026-04-17,460,15
64,8,1,2025-06-10,245,9
65,8,1,2026-06-06,229,8
66,8,1,2025-09-05,254,9
67,9,1,2026-07-26,254,9
68,11,3,2025-06-18,499,8
69,9,1,2026-05-10,226,4
70,20,3,2025-06-18,247,4
71,2,2,2025-02-21,316,8
72,24,3,2025-09-09,236,9
73,11,2,2025-06-27,418,11
74,22,1,2026-04-08,406,6
75,14,2,2026-03-15,396,6
76,19,1,2025-02-20,205,5
77,19,2,2026-01-15,288,9
78,17,1,2025-08-12,387,10
79,21,2,2025-05-26,469,8
80,10,1,2025-09-11,125,12
81,16,2,2025-05-05,283,8
82,7,2,2026-03-20,303,4
83,23,1,2025-06-09,448,7
84,23,2,2025-04-12,335,12
85,15,1,2026-06-10,391,10
86,11,3,2026-05-19,363,13
87,14,3,2026-05-22,131,3
88,9,2,2025-11-30,442,11
89,8,1,2025-05-10,415,8
90,11,3,2025-05-13,120,3
91,5,2,2025-04-26,262,7
92,14,1,2026-04-26,249,7
93,23,1,2026-03-16,294,31
94,13,3,2026-04-25,325,9
95,20,3,2026-07-04,162,4
96,13,1,2026-04-10,420,10
97,5,3,2025-03-19,251,8
98,3,2,2025-07-08,493,6
99,13,1,2026-05-31,217,8
100,9,2,2026-04-27,179,4
101,24,2,2026-02-13,164,5
102,21,1,2025-03-23,176,2
103,5,1,2026-06-19,392,15
104,15,2,2026-03-04,135,5
105,23,1,2025-08-06,209,2
106,10,2,2026-03-11,253,4
107,19,2,2025-10-26,102,2
108,22,2,2025-06-23,457,15
109,12,2,2026-03-06,85,2
110,14,3,2025-06-08,271,8
111,15,2,2026-05-11,140,5
112,9,2,2026-06-30,288,9
113,9,1,2025-10-29,475,9
114,15,1,2026-06-10,341,7
115,1,1,2026-01-18,143,3
116,9,1,2025-11-29,334,49
117,3,1,2026-04-12,300,5
118,16,2,2026-07-07,279,4
119,8,1,2025-10-27,206,4
120,18,2,2026-05-01,431,9
121,15,1,2025-11-04,168,3
122,4,2,2025-08-28,148,4
123,24,2,2026-08-11,355,5
124,7,1,2026-02-24,141,4
125,5,1,2025-04-16,333,13
126,21,3,2026-07-07,102,3
127,16,1,2026-02-03,144,3
128,16,1,2025-04-27,255,7
129,22,1,2025-07-22,465,9
130,8,1,2026-04-22,360,10
131,17,1,2026-05-19,202,8
132,10,2,2025-04-22,362,5
133,7,2,2025-11-17,388,7
134,18,1,2025-02-22,259,7
135,10,1,2025-12-12,411,15
136,3,2,2025-11-17,453,13
137,7,1,2025-10-08,381,7
138,5,1,2025-08-08,455,15
139,19,3,2026-05-15,113,2
140,13,3,2026-07-17,326,4
141,2,3,2026-01-16,359,5
142,22,3,2025-03-13,441,8
143,2,2,2025-08-18,290,7
144,9,1,2026-05-12,375,15
145,16,1,2026-01-27,214,8
146,11,1,2026-07-12,197,4
147,18,1,2025-05-21,211,3
